,음식,구간,label
180,"('보리밥', '오렌지', '고구마줄기나물무침')",2,277
181,"('보리밥', '오렌지', '시금치나물무침')",1,284
182,"('보리밥', '오렌지', '달걀프라이')",5,279
183,"('보리밥', '오렌지', '닭가슴살샐러드')",7,280
184,"('보리밥', '오렌지', '고구마맛탕')",11,276
185,"('보리밥', '오렌지', '채소샐러드')",8,285
186,"('보리밥', '오렌지', '쇠고기수육')",11,283
187,"('보리밥', '딸기', '과일샐러드')",3,234
188,"('보리밥', '딸기', '마늘쫑무침')",1,238
189,"('보리밥', '딸기', '두부조림')",1,237
190,"('보리밥', '딸기', '건취나물무침')",1,231
191,"('보리밥', '딸기', '고구마줄기나물무침')",1,233
192,"('보리밥', '딸기', '시금치나물무침')",1,240
193,"('보리밥', '딸기', '달걀프라이')",3,235
194,"('보리밥', '딸기', '닭가슴살샐러드')",6,236
195,"('보리밥', '딸기', '고구마맛탕')",10,232
196,"('보리밥', '딸기', '채소샐러드')",7,241
197,"('보리밥', '딸기', '쇠고기수육')",10,239
198,"('보리밥', '수정과', '과일샐러드')",7,256
199,"('보리밥', '수정과', '마늘쫑무침')",3,260
200,"('보리밥', '수정과', '두부조림')",5,259
201,"('보리밥', '수정과', '건취나물무침')",4,253
202,"('보리밥', '수정과', '고구마줄기나물무침')",4,255
203,"('보리밥', '수정과', '시금치나물무침')",3,262
204,"('보리밥', '수정과', '달걀프라이')",7,257
205,"('보리밥', '수정과', '닭가슴살샐러드')",9,258
206,"('보리밥', '수정과', '고구마맛탕')",12,254
207,"('보리밥', '수정과', '채소샐러드')",9,263
208,"('보리밥', '수정과', '쇠고기수육')",12,261
209,"('보리밥', '식혜', '과일샐러드')",7,267
210,"('보리밥', '식혜', '마늘쫑무침')",3,271
211,"('보리밥', '식혜', '두부조림')",5,270
212,"('보리밥', '식혜', '건취나물무침')",4,264
213,"('보리밥', '식혜', '고구마줄기나물무침')",4,266
214,"('보리밥', '식혜', '시금치나물무침')",3,273
215,"('보리밥', '식혜', '달걀프라이')",7,268
216,"('보리밥', '식혜', '닭가슴살샐러드')",9,269
217,"('보리밥', '식혜', '고구마맛탕')",12,265
218,"('보리밥', '식혜', '채소샐러드')",9,274
219,"('보리밥', '식혜', '쇠고기수육')",12,272
220,"('보리밥', '찐감자', '과일샐러드')",7,289
221,"('보리밥', '찐감자', '마늘쫑무침')",4,293
222,"('보리밥', '찐감자', '두부조림')",6,292
223,"('보리밥', '찐감자', '건취나물무침')",5,286
224,"('보리밥', '찐감자', '고구마줄기나물무침')",4,288
225,"('보리밥', '찐감자', '시금치나물무침')",4,295
226,"('보리밥', '찐감자', '달걀프라이')",7,290
227,"('보리밥', '찐감자', '닭가슴살샐러드')",9,291
228,"('보리밥', '찐감자', '고구마맛탕')",12,287
229,"('보리밥', '찐감자', '채소샐러드')",9,296
