,음식,label,구간
242,"('도토리묵밥(반공기)', '시래기국', '버섯볶음')",1469,16
243,"('도토리묵밥(반공기)', '시래기국', '진미채볶음')",1474,24
244,"('도토리묵밥(반공기)', '시래기국', '낚지볶음')",1468,30
245,"('도토리묵밥(반공기)', '시래기국', '김치참치볶음')",1467,6
246,"('도토리묵밥(반공기)', '시래기국', '갈치구이')",1460,31
247,"('도토리묵밥(반공기)', '시래기국', '조기구이')",1473,15
248,"('도토리묵밥(반공기)', '시래기국', '잔멸치볶음')",1472,10
249,"('도토리묵밥(반공기)', '시래기국', '감자채볶음')",1461,13
250,"('도토리묵밥(반공기)', '시래기국', '애호박볶음')",1471,14
251,"('도토리묵밥(반공기)', '시래기국', '골뱅이무침')",1466,18
252,"('도토리묵밥(반공기)', '시래기국', '홍합무침')",1478,17
253,"('도토리묵밥(반공기)', '시래기국', '코다리찜')",1475,24
254,"('도토리묵밥(반공기)', '시래기국', '콩나물찜')",1477,31
255,"('도토리묵밥(반공기)', '시래기국', '훈제닭가슴살')",1479,21
256,"('도토리묵밥(반공기)', '시래기국', '계란프라이')",1463,14
257,"('도토리묵밥(반공기)', '시래기국', '계란찜')",1462,32
258,"('도토리묵밥(반공기)', '시래기국', '계란햄말이')",1464,24
259,"('도토리묵밥(반공기)', '시래기국', '쇠고기장조림')",1470,22
260,"('도토리묵밥(반공기)', '감자맑은국', '콩나물무침')",1336,8
261,"('도토리묵밥(반공기)', '감자맑은국', '고사리나물')",1325,11
262,"('도토리묵밥(반공기)', '감자맑은국', '버섯볶음')",1329,20
263,"('도토리묵밥(반공기)', '감자맑은국', '진미채볶음')",1334,28
264,"('도토리묵밥(반공기)', '감자맑은국', '낚지볶음')",1328,33
265,"('도토리묵밥(반공기)', '감자맑은국', '김치참치볶음')",1327,11
266,"('도토리묵밥(반공기)', '감자맑은국', '갈치구이')",1320,33
267,"('도토리묵밥(반공기)', '감자맑은국', '조기구이')",1333,20
268,"('도토리묵밥(반공기)', '감자맑은국', '잔멸치볶음')",1332,14
269,"('도토리묵밥(반공기)', '감자맑은국', '감자채볶음')",1321,17
270,"('도토리묵밥(반공기)', '감자맑은국', '애호박볶음')",1331,19
271,"('도토리묵밥(반공기)', '감자맑은국', '골뱅이무침')",1326,22
272,"('도토리묵밥(반공기)', '감자맑은국', '홍합무침')",1338,22
273,"('도토리묵밥(반공기)', '감자맑은국', '코다리찜')",1335,28
274,"('도토리묵밥(반공기)', '감자맑은국', '콩나물찜')",1337,34
275,"('도토리묵밥(반공기)', '감자맑은국', '훈제닭가슴살')",1339,26
276,"('도토리묵밥(반공기)', '감자맑은국', '계란프라이')",1323,18
277,"('도토리묵밥(반공기)', '감자맑은국', '계란찜')",1322,34
278,"('도토리묵밥(반공기)', '감자맑은국', '계란햄말이')",1324,28
279,"('도토리묵밥(반공기)', '감자맑은국', '쇠고기장조림')",1330,27
280,"('도토리묵밥(반공기)', '감자수제비국', '콩나물무침')",1356,15
281,"('도토리묵밥(반공기)', '감자수제비국', '고사리나물')",1345,18
282,"('도토리묵밥(반공기)', '감자수제비국', '버섯볶음')",1349,27
283,"('도토리묵밥(반공기)', '감자수제비국', '진미채볶음')",1354,31
284,"('도토리묵밥(반공기)', '감자수제비국', '낚지볶음')",1348,35
285,"('도토리묵밥(반공기)', '감자수제비국', '김치참치볶음')",1347,18
286,"('도토리묵밥(반공기)', '감자수제비국', '갈치구이')",1340,35
287,"('도토리묵밥(반공기)', '감자수제비국', '조기구이')",1353,27
288,"('도토리묵밥(반공기)', '감자수제비국', '잔멸치볶음')",1352,21
289,"('도토리묵밥(반공기)', '감자수제비국', '감자채볶음')",1341,24
290,"('도토리묵밥(반공기)', '감자수제비국', '애호박볶음')",1351,26
291,"('도토리묵밥(반공기)', '감자수제비국', '골뱅이무침')",1346,28
292,"('도토리묵밥(반공기)', '감자수제비국', '홍합무침')",1358,28
293,"('도토리묵밥(반공기)', '감자수제비국', '코다리찜')",1355,31
294,"('도토리묵밥(반공기)', '감자수제비국', '콩나물찜')",1357,35
295,"('도토리묵밥(반공기)', '감자수제비국', '훈제닭가슴살')",1359,30
296,"('도토리묵밥(반공기)', '감자수제비국', '계란프라이')",1343,25
297,"('도토리묵밥(반공기)', '감자수제비국', '계란찜')",1342,35
298,"('도토리묵밥(반공기)', '감자수제비국', '계란햄말이')",1344,31
299,"('도토리묵밥(반공기)', '감자수제비국', '쇠고기장조림')",1350,31
300,"('도토리묵밥(반공기)', '바지락국', '콩나물무침')",1436,6
301,"('도토리묵밥(반공기)', '바지락국', '고사리나물')",1425,8
302,"('도토리묵밥(반공기)', '바지락국', '버섯볶음')",1429,18
303,"('도토리묵밥(반공기)', '바지락국', '진미채볶음')",1434,26
304,"('도토리묵밥(반공기)', '바지락국', '낚지볶음')",1428,32
305,"('도토리묵밥(반공기)', '바지락국', '김치참치볶음')",1427,9
306,"('도토리묵밥(반공기)', '바지락국', '갈치구이')",1420,32
307,"('도토리묵밥(반공기)', '바지락국', '조기구이')",1433,18
308,"('도토리묵밥(반공기)', '바지락국', '잔멸치볶음')",1432,12
309,"('도토리묵밥(반공기)', '바지락국', '감자채볶음')",1421,15
310,"('도토리묵밥(반공기)', '바지락국', '애호박볶음')",1431,16
311,"('도토리묵밥(반공기)', '바지락국', '골뱅이무침')",1426,20
312,"('도토리묵밥(반공기)', '바지락국', '홍합무침')",1438,20
313,"('도토리묵밥(반공기)', '바지락국', '코다리찜')",1435,26
314,"('도토리묵밥(반공기)', '바지락국', '콩나물찜')",1437,33
315,"('도토리묵밥(반공기)', '바지락국', '훈제닭가슴살')",1439,23
316,"('도토리묵밥(반공기)', '바지락국', '계란프라이')",1423,16
317,"('도토리묵밥(반공기)', '바지락국', '계란찜')",1422,33
318,"('도토리묵밥(반공기)', '바지락국', '계란햄말이')",1424,26
319,"('도토리묵밥(반공기)', '바지락국', '쇠고기장조림')",1430,25
320,"('도토리묵밥(반공기)', '오징어국', '콩나물무침')",1496,8
321,"('도토리묵밥(반공기)', '오징어국', '고사리나물')",1485,11
322,"('도토리묵밥(반공기)', '오징어국', '버섯볶음')",1489,20
323,"('도토리묵밥(반공기)', '오징어국', '진미채볶음')",1494,28
324,"('도토리묵밥(반공기)', '오징어국', '낚지볶음')",1488,33
325,"('도토리묵밥(반공기)', '오징어국', '김치참치볶음')",1487,11
326,"('도토리묵밥(반공기)', '오징어국', '갈치구이')",1480,33
327,"('도토리묵밥(반공기)', '오징어국', '조기구이')",1493,20
328,"('도토리묵밥(반공기)', '오징어국', '잔멸치볶음')",1492,14
329,"('도토리묵밥(반공기)', '오징어국', '감자채볶음')",1481,18
330,"('도토리묵밥(반공기)', '오징어국', '애호박볶음')",1491,19
331,"('도토리묵밥(반공기)', '오징어국', '골뱅이무침')",1486,23
332,"('도토리묵밥(반공기)', '오징어국', '홍합무침')",1498,22
333,"('도토리묵밥(반공기)', '오징어국', '코다리찜')",1495,28
334,"('도토리묵밥(반공기)', '오징어국', '콩나물찜')",1497,34
335,"('도토리묵밥(반공기)', '오징어국', '훈제닭가슴살')",1499,26
336,"('도토리묵밥(반공기)', '오징어국', '계란프라이')",1483,19
337,"('도토리묵밥(반공기)', '오징어국', '계란찜')",1482,34
338,"('도토리묵밥(반공기)', '오징어국', '계란햄말이')",1484,28
339,"('도토리묵밥(반공기)', '오징어국', '쇠고기장조림')",1490,27
340,"('도토리묵밥(반공기)', '모시조개국', '콩나물무침')",1416,3
341,"('도토리묵밥(반공기)', '모시조개국', '고사리나물')",1405,4
342,"('도토리묵밥(반공기)', '모시조개국', '버섯볶음')",1409,13
343,"('도토리묵밥(반공기)', '모시조개국', '진미채볶음')",1414,21
344,"('도토리묵밥(반공기)', '모시조개국', '낚지볶음')",1408,29
345,"('도토리묵밥(반공기)', '모시조개국', '김치참치볶음')",1407,4
346,"('도토리묵밥(반공기)', '모시조개국', '갈치구이')",1400,29
347,"('도토리묵밥(반공기)', '모시조개국', '조기구이')",1413,12
348,"('도토리묵밥(반공기)', '모시조개국', '잔멸치볶음')",1412,7
349,"('도토리묵밥(반공기)', '모시조개국', '감자채볶음')",1401,10
350,"('도토리묵밥(반공기)', '모시조개국', '애호박볶음')",1411,11
351,"('도토리묵밥(반공기)', '모시조개국', '골뱅이무침')",1406,15
352,"('도토리묵밥(반공기)', '모시조개국', '홍합무침')",1418,14
353,"('도토리묵밥(반공기)', '모시조개국', '코다리찜')",1415,21
354,"('도토리묵밥(반공기)', '모시조개국', '콩나물찜')",1417,30
355,"('도토리묵밥(반공기)', '모시조개국', '훈제닭가슴살')",1419,18
356,"('도토리묵밥(반공기)', '모시조개국', '계란프라이')",1403,11
357,"('도토리묵밥(반공기)', '모시조개국', '계란찜')",1402,30
358,"('도토리묵밥(반공기)', '모시조개국', '계란햄말이')",1404,21
359,"('도토리묵밥(반공기)', '모시조개국', '쇠고기장조림')",1410,19
360,"('도토리묵밥(반공기)', '홍합우거지국', '콩나물무침')",1536,4
361,"('도토리묵밥(반공기)', '홍합우거지국', '고사리나물')",1525,6
362,"('도토리묵밥(반공기)', '홍합우거지국', '버섯볶음')",1529,15
